Place of Interest,Type of place,Place address,BiciMAD station,Station Location
A Neruda-El Ser alado,Monumento de la ciudad de Madrid,Gta José Luis Ozores 116, Concordia,Calle Arroyo del Olivar nº 6
A Neruda-El Ser alado,Monumento de la ciudad de Madrid,Gta José Luis Ozores 116, Sierra Toledana,Camino de Valderribas nº 94
A Neruda-El Ser alado,Monumento de la ciudad de Madrid,Gta José Luis Ozores 116, Doctor Lozano,Calle Sierra Toledana nº 33
A las víctimas del Holocausto,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Carlota O’Neill,Calle Carlota O'Neill nº 32
A las víctimas del Holocausto,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
A las víctimas del Holocausto,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , C.D. Concepción,Calle Jose del Hierro nº 5
A los Abuelos,Monumento de la ciudad de Madrid,C Alicún , Manuel Caldeiro,Paseo de la Castellana nº 298
A los Abuelos,Monumento de la ciudad de Madrid,C Alicún , Chamartín,Calle Rodríguez Jaén nº 40
A los Abuelos,Monumento de la ciudad de Madrid,C Alicún , Pío XII,Avenida Pío XII nº 3
AICO,Monumento de la ciudad de Madrid,Pza Colón , Plaza de Colón,Calle Goya nº 1
AICO,Monumento de la ciudad de Madrid,Pza Colón , Colón B,Calle Serrano nº 34
AICO,Monumento de la ciudad de Madrid,Pza Colón , Colón A,Calle Serrano nº 34
Abogados Laboristas,Monumento de la ciudad de Madrid,C Atocha 55, Antón Martín,Calle Atocha nº 54
Abogados Laboristas,Monumento de la ciudad de Madrid,C Atocha 55, Plaza de Santa Ana,Plaza de Santa Ana nº 10
Abogados Laboristas,Monumento de la ciudad de Madrid,C Atocha 55, Santa Isabel,Calle Atocha nº 95
Abstracta I,Monumento de la ciudad de Madrid, , Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
Abstracta I,Monumento de la ciudad de Madrid, , Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107
Abstracta I,Monumento de la ciudad de Madrid, , Marqués de Zafra,Paseo Marqués de Zafra nº 24
Abstracta II,Monumento de la ciudad de Madrid, , Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
Abstracta II,Monumento de la ciudad de Madrid, , Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107
Abstracta II,Monumento de la ciudad de Madrid, , Marqués de Zafra,Paseo Marqués de Zafra nº 24
Abundancia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 137, Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Abundancia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 137, San Francisco de Sales,Calle General Ampudia nº 2
Abundancia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 137, Parque Santander,Calle Santander esquina con Avenida de Filipinas
Academia de Farmacia,Monumento de la ciudad de Madrid,C Farmacia 9, Colegio Arquitectos,Calle Hortaleza nº 63
Academia de Farmacia,Monumento de la ciudad de Madrid,C Farmacia 9, Hortaleza,Calle Hortaleza nº 75
Academia de Farmacia,Monumento de la ciudad de Madrid,C Farmacia 9, Plaza de San Ildefonso,Plaza de San Ildefonso
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monumento de la ciudad de Madrid,CAMINO HUMERA , Caramuel,Calle Caramuel nº 51
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monumento de la ciudad de Madrid,CAMINO HUMERA , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monumento de la ciudad de Madrid,CAMINO HUMERA , Ermita Santo,Paseo de la Ermita del Santo nº 48
Ad Iesum per Mariam,Monumento de la ciudad de Madrid,AVENIDA MACHUPICHU 1, Carlota O’Neill,Calle Carlota O'Neill nº 32
Ad Iesum per Mariam,Monumento de la ciudad de Madrid,AVENIDA MACHUPICHU 1, C.D. Concepción,Calle Jose del Hierro nº 5
Ad Iesum per Mariam,Monumento de la ciudad de Madrid,AVENIDA MACHUPICHU 1, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Adelardo Ortiz de Pinedo,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1, Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Adelardo Ortiz de Pinedo,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1, Paseo de la Florida,Paseo de la Florida nº 8
Adelardo Ortiz de Pinedo,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1, Paseo de Moret,Paseo de Moret nº 11
Adhesión de España a la Comunidad Europea,Monumento de la ciudad de Madrid,PLAZA PROVINCIA 1, Plaza de la Provincia,Plaza de la Provincia nº 1
Adhesión de España a la Comunidad Europea,Monumento de la ciudad de Madrid,PLAZA PROVINCIA 1, Conde de Romanones,Plaza del Conde de Romanones nº 9
Adhesión de España a la Comunidad Europea,Monumento de la ciudad de Madrid,PLAZA PROVINCIA 1, Calle Mayor,Calle Mayor nº 20
"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,PASEO CASTELLANA 101, General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,Avda Complutense , Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria)
"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,Avda Complutense , Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Agustín Argüelles,Monumento de la ciudad de Madrid,Pza Marqués de Cerralbo , Ferraz,Calle Evaristo San Miguel nº 2
Agustín Argüelles,Monumento de la ciudad de Madrid,Pza Marqués de Cerralbo , Quintana,Calle Quintana nº 11
Agustín Argüelles,Monumento de la ciudad de Madrid,Pza Marqués de Cerralbo , Ventura Rodríguez,Calle Duque de Liria
Agustín Lara,Monumento de la ciudad de Madrid,C Sombrerete 15, Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
Agustín Lara,Monumento de la ciudad de Madrid,C Sombrerete 15, Jesús y María,Calle Lavapiés nº 34
Agustín Lara,Monumento de la ciudad de Madrid,C Sombrerete 15, Embajadores 2,Glorieta de Embajadores nº 2
Agustín Rodríguez Sahagún,Monumento de la ciudad de Madrid,PARQUE AGUSTIN RODRIGUEZ SAHAGUN , Francos Rodríguez,Calle Francos Rodríguez nº 62
Agustín Rodríguez Sahagún,Monumento de la ciudad de Madrid,PARQUE AGUSTIN RODRIGUEZ SAHAGUN , Metro Tetuán,Calle Marqués de Viana nº 3
Agustín Rodríguez Sahagún,Monumento de la ciudad de Madrid,PARQUE AGUSTIN RODRIGUEZ SAHAGUN , Remonta,Calle Azucenas nº 1
Agustín de Foxá,Monumento de la ciudad de Madrid,C Ibiza 1, Retiro,Calle Ibiza nº 18
Agustín de Foxá,Monumento de la ciudad de Madrid,C Ibiza 1, Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Agustín de Foxá,Monumento de la ciudad de Madrid,C Ibiza 1, Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Al Bombero,Monumento de la ciudad de Madrid,Avda Poblados , Caramuel,Calle Caramuel nº 51
Al Bombero,Monumento de la ciudad de Madrid,Avda Poblados , Ermita Santo,Paseo de la Ermita del Santo nº 48
Al Bombero,Monumento de la ciudad de Madrid,Avda Poblados , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Al Libro,Monumento de la ciudad de Madrid,Pº Recoletos , Biblioteca Nacional,Paseo de Recoletos nº 20
Al Libro,Monumento de la ciudad de Madrid,Pº Recoletos , Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Al Libro,Monumento de la ciudad de Madrid,Pº Recoletos , Plaza de Colón,Calle Goya nº 1
Al Maestro,Monumento de la ciudad de Madrid, , Paseo de Moret,Paseo de Moret nº 11
Al Maestro,Monumento de la ciudad de Madrid, , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Al Maestro,Monumento de la ciudad de Madrid, , Moncloa,Paseo de Moret nº 2
Al Niño,Monumento de la ciudad de Madrid,AVENIDA ALBERTO ALCOCER 1, Castellana 164,Paseo de la Castellana nº 164
Al Niño,Monumento de la ciudad de Madrid,AVENIDA ALBERTO ALCOCER 1, Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2
Al Niño,Monumento de la ciudad de Madrid,AVENIDA ALBERTO ALCOCER 1, Doctor Fleming,Calle Doctor Fleming nº 7
Al Pueblo del Dos de Mayo de 1808,Monumento de la ciudad de Madrid,Pza España , Plaza de España A,Calle Princesa nº 5
Al Pueblo del Dos de Mayo de 1808,Monumento de la ciudad de Madrid,Pza España , Ferraz,Calle Evaristo San Miguel nº 2
Al Pueblo del Dos de Mayo de 1808,Monumento de la ciudad de Madrid,Pza España , Ventura Rodríguez,Calle Duque de Liria
Al Siglo XXI,Monumento de la ciudad de Madrid,AVENIDA CANILLEJAS A VICALVARO 159, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Al Siglo XXI,Monumento de la ciudad de Madrid,AVENIDA CANILLEJAS A VICALVARO 159, Pavones,Calle Hacienda de Pavones nº 342
Al Siglo XXI,Monumento de la ciudad de Madrid,AVENIDA CANILLEJAS A VICALVARO 159, Marroquina,Calle Camino de los Vinateros nº 108
Al Viejo Profesor,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 17, Glorieta de Cádiz,Calle Antonio López nº 129
Al Viejo Profesor,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 17, Embajadores 191,Calle Sodio nº 1B
Al Viejo Profesor,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 17, Legazpi,Calle Bolívar nº 3
Al otro lado del muro,Monumento de la ciudad de Madrid,Pº Castellana 41, Castellana 42,Paseo de la Castellana nº 42
Al otro lado del muro,Monumento de la ciudad de Madrid,Pº Castellana 41, Ortega y Gasset,Calle José Ortega y Gasset nº 4
Al otro lado del muro,Monumento de la ciudad de Madrid,Pº Castellana 41, Paseo de la Castellana ,Paseo de la Castellana nº 43
Albercas-acequias del Jardín Islámico,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Carlota O’Neill,Calle Carlota O'Neill nº 32
Albercas-acequias del Jardín Islámico,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Albercas-acequias del Jardín Islámico,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS , C.D. Concepción,Calle Jose del Hierro nº 5
Alberto Aguilera,Monumento de la ciudad de Madrid,CALLE MAGDALENA 6, Jesús y María,Calle Lavapiés nº 34
Alberto Aguilera,Monumento de la ciudad de Madrid,CALLE MAGDALENA 6, Jacinto Benavente,Plaza de Jacinto Benavente
Alberto Aguilera,Monumento de la ciudad de Madrid,CALLE MAGDALENA 6, Conde de Romanones,Plaza del Conde de Romanones nº 9
Alejandro Busuioceanu,Monumento de la ciudad de Madrid,C General Pardiñas 32, Príncipe de Vergara,Calle Hermosilla nº 70
Alejandro Busuioceanu,Monumento de la ciudad de Madrid,C General Pardiñas 32, General Pardiñas,Calle General Pardiñas nº 56
Alejandro Busuioceanu,Monumento de la ciudad de Madrid,C General Pardiñas 32, Conde Peñalver,Calle Ayala nº 102
Alejandro Muñoz Revenga,Monumento de la ciudad de Madrid,CALLE MELENDEZ VALDES 1, Fernando el Católico,Calle Fernando el Católico nº 19
Alejandro Muñoz Revenga,Monumento de la ciudad de Madrid,CALLE MELENDEZ VALDES 1, Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3
Alejandro Muñoz Revenga,Monumento de la ciudad de Madrid,CALLE MELENDEZ VALDES 1, Galileo,Calle Galileo nº 63
Alexandr Pushkin,Monumento de la ciudad de Madrid,PARQUE QUINTA FUENTE DEL BERRO , Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
Alexandr Pushkin,Monumento de la ciudad de Madrid,PARQUE QUINTA FUENTE DEL BERRO , Marqués de Zafra,Paseo Marqués de Zafra nº 24
Alexandr Pushkin,Monumento de la ciudad de Madrid,PARQUE QUINTA FUENTE DEL BERRO , Marqués de Corbera 12,Avenida Marqués de Corbera nº 12
Alfonso R. Castelao,Monumento de la ciudad de Madrid, , Avenida Brasilia,Avenida de Brasilia frente al nº 9
Alfonso R. Castelao,Monumento de la ciudad de Madrid, , Avenida Bruselas,Avenida Bruselas nº 56
Alfonso R. Castelao,Monumento de la ciudad de Madrid, , Puente de Ventas,Avenida de Daroca nº 2
Alfonso VI,Monumento de la ciudad de Madrid, , San Quintín,Calle Pavía nº 6
Alfonso VI,Monumento de la ciudad de Madrid, , Plaza Ramales,Plaza de Ramales
Alfonso VI,Monumento de la ciudad de Madrid, , Palacio de Oriente,Calle Carlos III nº 1
Alfonso VIII,Monumento de la ciudad de Madrid, , San Quintín,Calle Pavía nº 6
Alfonso VIII,Monumento de la ciudad de Madrid, , Plaza Ramales,Plaza de Ramales
Alfonso VIII,Monumento de la ciudad de Madrid, , Palacio de Oriente,Calle Carlos III nº 1
Alfonso X El Sabio,Monumento de la ciudad de Madrid,PASEO RECOLETOS 20, Biblioteca Nacional,Paseo de Recoletos nº 20
Alfonso X El Sabio,Monumento de la ciudad de Madrid,JARDINES SABATINI , Plaza de España A,Calle Princesa nº 5
Alfonso X El Sabio,Monumento de la ciudad de Madrid,PASEO RECOLETOS 20, Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Alfonso XII,Monumento de la ciudad de Madrid,PASEO CHILE , Velázquez,Calle Alcalá nº 95
Alfonso XII,Monumento de la ciudad de Madrid,PASEO CHILE , Castelló,Calle Alcalá nº 111
Alfonso XII,Monumento de la ciudad de Madrid,PASEO CHILE , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Alfonso XIII,Monumento de la ciudad de Madrid,Avda Complutense , Facultad Biología,Calle José Antonio Novais frente al nº 12
Alfonso XIII,Monumento de la ciudad de Madrid,Avda Complutense , Facultad Derecho,Avenida Complutense nº 23
Alfonso XIII,Monumento de la ciudad de Madrid,Avda Complutense , Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Alférez Provisional,Monumento de la ciudad de Madrid,CALLE FELIPE IV 1, Espalter,Calle Espalter nº 1
Alférez Provisional,Monumento de la ciudad de Madrid,CALLE FELIPE IV 1, Antonio Maura,Calle Antonio Maura nº 15
Alférez Provisional,Monumento de la ciudad de Madrid,CALLE FELIPE IV 1, Marqués de Cubas,Calle del Marqués de Cubas nº 25
Almirante Miguel Grau,Monumento de la ciudad de Madrid, , Pedro Rico,Calle Pedro Rico nº 4
Almirante Miguel Grau,Monumento de la ciudad de Madrid, , Torre Cepsa,Calle Sinesio Delgado nº 2
Almirante Miguel Grau,Monumento de la ciudad de Madrid, , Manuel Caldeiro,Paseo de la Castellana nº 298
Almudena,Monumento de la ciudad de Madrid,C Castelló 77, Marqués de Salamanca,Calle José Ortega y Gasset nº 30
Almudena,Monumento de la ciudad de Madrid,C Castelló 77, Embajada de Italia,Calle Velázquez nº 75
Almudena,Monumento de la ciudad de Madrid,C Castelló 77, General Pardiñas,Calle General Pardiñas nº 56
Alonso I,Monumento de la ciudad de Madrid,PLAZA ORIENTE 1, Plaza Ramales,Plaza de Ramales
Alonso I,Monumento de la ciudad de Madrid,PLAZA ORIENTE 1, Palacio de Oriente,Calle Carlos III nº 1
Alonso I,Monumento de la ciudad de Madrid,PLAZA ORIENTE 1, San Quintín,Calle Pavía nº 6
Alonso I El Batallador,Monumento de la ciudad de Madrid,Pº República Argentina , Antonio Maura,Calle Antonio Maura nº 15
Alonso I El Batallador,Monumento de la ciudad de Madrid,Pº República Argentina , Plaza de la Independencia,Plaza de la Independencia nº 6
Alonso I El Batallador,Monumento de la ciudad de Madrid,Pº República Argentina , Velázquez,Calle Alcalá nº 95
Alonso II,Monumento de la ciudad de Madrid,Pza Oriente , Plaza Ramales,Plaza de Ramales
Alonso II,Monumento de la ciudad de Madrid,Pza Oriente , Palacio de Oriente,Calle Carlos III nº 1
Alonso II,Monumento de la ciudad de Madrid,Pza Oriente , San Quintín,Calle Pavía nº 6
Alonso III,Monumento de la ciudad de Madrid,Pza Oriente , San Quintín,Calle Pavía nº 6
Alonso III,Monumento de la ciudad de Madrid,Pza Oriente , Palacio de Oriente,Calle Carlos III nº 1
Alonso III,Monumento de la ciudad de Madrid,Pza Oriente , Plaza Ramales,Plaza de Ramales
Alonso V,Monumento de la ciudad de Madrid,Pza Oriente , San Quintín,Calle Pavía nº 6
Alonso V,Monumento de la ciudad de Madrid,Pza Oriente , Palacio de Oriente,Calle Carlos III nº 1
Alonso V,Monumento de la ciudad de Madrid,Pza Oriente , Plaza Ramales,Plaza de Ramales
Altar Parque de Roma,Monumento de la ciudad de Madrid,C Juan Esplandiú , Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107
Altar Parque de Roma,Monumento de la ciudad de Madrid,C Juan Esplandiú , Sainz de Baranda,Calle Doctor Esquerdo nº 99
Altar Parque de Roma,Monumento de la ciudad de Madrid,C Juan Esplandiú , Camino Vinateros,Calle Camino de los Vinateros nº 28
Amado Nervo,Monumento de la ciudad de Madrid,C Bailén 15, San Quintín,Calle Pavía nº 6
Amado Nervo,Monumento de la ciudad de Madrid,C Bailén 15, Palacio de Oriente,Calle Carlos III nº 1
Amado Nervo,Monumento de la ciudad de Madrid,C Bailén 15, Plaza Ramales,Plaza de Ramales
Amigos,Monumento de la ciudad de Madrid,Pza Alfredo Mahou de la Fuente , Velázquez,Calle Velázquez nº 91
Amigos,Monumento de la ciudad de Madrid,Pza Alfredo Mahou de la Fuente , Embajada de Italia,Calle Velázquez nº 75
Amigos,Monumento de la ciudad de Madrid,Pza Alfredo Mahou de la Fuente , Castellana 42,Paseo de la Castellana nº 42
América,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133, San Francisco de Sales,Calle General Ampudia nº 2
América,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133, Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
América,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133, Cea Bermúdez,Calle Cea Bermúdez nº 59
Amós Acero,Monumento de la ciudad de Madrid, , Concordia,Calle Arroyo del Olivar nº 6
Amós Acero,Monumento de la ciudad de Madrid, , Puente de Vallecas,Avenida de la Albufera nº 6
Amós Acero,Monumento de la ciudad de Madrid, , Sierra Toledana,Camino de Valderribas nº 94
Ana Tutor,Monumento de la ciudad de Madrid,Avda Ventisquero de la Condesa , Pedro Rico,Calle Pedro Rico nº 4
Ana Tutor,Monumento de la ciudad de Madrid,Avda Ventisquero de la Condesa , Remonta,Calle Azucenas nº 1
Ana Tutor,Monumento de la ciudad de Madrid,Avda Ventisquero de la Condesa , Francos Rodríguez,Calle Francos Rodríguez nº 62
Ancla,Monumento de la ciudad de Madrid,C Arturo Soria 271, Pío XII,Avenida Pío XII nº 3
Ancla,Monumento de la ciudad de Madrid,C Arturo Soria 271, Colombia,Calle Colombia nº 7
Ancla,Monumento de la ciudad de Madrid,C Arturo Soria 271, Chamartín,Calle Rodríguez Jaén nº 40
Anclas,Monumento de la ciudad de Madrid,C Manuel Alonso , Facultad Derecho,Avenida Complutense nº 23
Anclas,Monumento de la ciudad de Madrid,C Manuel Alonso , Facultad Biología,Calle José Antonio Novais frente al nº 12
Anclas,Monumento de la ciudad de Madrid,C Manuel Alonso , Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Andrés Bello,Monumento de la ciudad de Madrid,PARQUE DEHESA DE LA VILLA , Francos Rodríguez,Calle Francos Rodríguez nº 62
Andrés Bello,Monumento de la ciudad de Madrid,PARQUE DEHESA DE LA VILLA , Pablo Iglesias,Calle Francisco Balseiro nº 1
Andrés Bello,Monumento de la ciudad de Madrid,PARQUE DEHESA DE LA VILLA , San Germán 57,Calle San Germán nº 57
Andrés Eloy Blanco,Monumento de la ciudad de Madrid,Pº Venezuela , Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Andrés Eloy Blanco,Monumento de la ciudad de Madrid,Pº Venezuela , Velázquez,Calle Alcalá nº 95
Andrés Eloy Blanco,Monumento de la ciudad de Madrid,Pº Venezuela , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Andrés Segovia,Monumento de la ciudad de Madrid,PLAZA ANDRES SEGOVIA 1, María Francisca 1,Calle María Francisca nº 1
Andrés Segovia,Monumento de la ciudad de Madrid,PLAZA ANDRES SEGOVIA 1, Prosperidad,Calle Suero de Quiñones nº 2
Andrés Segovia,Monumento de la ciudad de Madrid,PLAZA ANDRES SEGOVIA 1, Doctor Arce 45,Avenida del Doctor Arce nº 45
Andrómaca,Monumento de la ciudad de Madrid,PASEO RECOLETOS 1, Cibeles,Plaza Cibeles
Andrómaca,Monumento de la ciudad de Madrid,PASEO RECOLETOS 1, Banco de España A,Calle Alcalá nº 49
Andrómaca,Monumento de la ciudad de Madrid,PASEO RECOLETOS 1, Prim,Calle Prim nº 2
Anfiteatro del parque Cuña Verde de Vicálvaro,Monumento de la ciudad de Madrid,CALLE CASALARREINA 3, Pavones,Calle Hacienda de Pavones nº 342
Anfiteatro del parque Cuña Verde de Vicálvaro,Monumento de la ciudad de Madrid,CALLE CASALARREINA 3, Marroquina,Calle Camino de los Vinateros nº 108
Anfiteatro del parque Cuña Verde de Vicálvaro,Monumento de la ciudad de Madrid,CALLE CASALARREINA 3, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Anfiteatro del parque del Manzanares,Monumento de la ciudad de Madrid,Cmno Perales s/n, Embajadores 191,Calle Sodio nº 1B
Anfiteatro del parque del Manzanares,Monumento de la ciudad de Madrid,Cmno Perales s/n, Legazpi,Calle Bolívar nº 3
Anfiteatro del parque del Manzanares,Monumento de la ciudad de Madrid,Cmno Perales s/n, Glorieta de Cádiz,Calle Antonio López nº 129
Antigua Fuente de las Delicias,Monumento de la ciudad de Madrid, , Ortega y Gasset 87,Calle Ortega y Gasset nº 87
Antigua Fuente de las Delicias,Monumento de la ciudad de Madrid, , Avenida de los Toreros,Avenida de los Toreros nº 3
Antigua Fuente de las Delicias,Monumento de la ciudad de Madrid, , Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2
Antigua Iglesia y Hospital del Buen Suceso,Monumento de la ciudad de Madrid, , Carretas,Calle Carretas nº 8
Antigua Iglesia y Hospital del Buen Suceso,Monumento de la ciudad de Madrid, , Puerta del Sol A,Puerta del Sol nº 1
Antigua Iglesia y Hospital del Buen Suceso,Monumento de la ciudad de Madrid, , Puerta del Sol B,Puerta del Sol nº 1
Antigua pastelería del Pozo,Monumento de la ciudad de Madrid,C Pozo 8, Puerta del Sol B,Puerta del Sol nº 1
Antigua pastelería del Pozo,Monumento de la ciudad de Madrid,C Pozo 8, Puerta del Sol A,Puerta del Sol nº 1
Antigua pastelería del Pozo,Monumento de la ciudad de Madrid,C Pozo 8, Plaza de Santa Ana,Plaza de Santa Ana nº 10
"Antonia Mercé, la Argentina",Monumento de la ciudad de Madrid,C Ave María 8, Antón Martín,Calle Atocha nº 54
"Antonia Mercé, la Argentina",Monumento de la ciudad de Madrid,C Ave María 8, Santa Isabel,Calle Atocha nº 95
"Antonia Mercé, la Argentina",Monumento de la ciudad de Madrid,C Ave María 8, Jesús y María,Calle Lavapiés nº 34
Antonio Bienvenida,Monumento de la ciudad de Madrid,C Alcalá 231, Alcalá,Calle Alejandro González nº 1
Antonio Bienvenida,Monumento de la ciudad de Madrid,C Alcalá 231, Alcalá,Calle Alejandro González nº 1
Antonio Bienvenida,Monumento de la ciudad de Madrid,C Alcalá 231, Ventas,Avenida de los Toreros nº 49
Antonio Cánovas del Castillo,Monumento de la ciudad de Madrid,Pza Marina Española , San Quintín,Calle Pavía nº 6
Antonio Cánovas del Castillo,Monumento de la ciudad de Madrid,Pza Marina Española , Plaza de España B,Calle Princesa nº 5
Antonio Cánovas del Castillo,Monumento de la ciudad de Madrid,Pza Marina Española , Plaza de España A,Calle Princesa nº 5
Antonio Lleó de la Viña,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO , Facultad Derecho,Avenida Complutense nº 23
Antonio Lleó de la Viña,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Antonio Lleó de la Viña,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO , Facultad Biología,Calle José Antonio Novais frente al nº 12
Antonio Machado,Monumento de la ciudad de Madrid,CALLE GENERAL ARRANDO 4, Santa Engracia 14,Calle Santa Engracia nº 14
Antonio Machado,Monumento de la ciudad de Madrid,CALLE GENERAL ARRANDO 4, Manuel Silvela,Calle Manuel Silvela nº 20
Antonio Machado,Monumento de la ciudad de Madrid,CALLE GENERAL ARRANDO 4, Alonso Martínez,Plaza de Alonso Martínez nº 5
Antonio Maura,Monumento de la ciudad de Madrid,C Antonio Maura 18, Antonio Maura,Calle Antonio Maura nº 15
Antonio Maura,Monumento de la ciudad de Madrid,C Antonio Maura 18, Plaza de la Independencia,Plaza de la Independencia nº 6
Antonio Maura,Monumento de la ciudad de Madrid,C Antonio Maura 18, Espalter,Calle Espalter nº 1
Antonio Mingote,Monumento de la ciudad de Madrid,Pza Cristino Martos 5, Ventura Rodríguez,Calle Duque de Liria
Antonio Mingote,Monumento de la ciudad de Madrid,Pza Cristino Martos 5, Plaza de España A,Calle Princesa nº 5
Antonio Mingote,Monumento de la ciudad de Madrid,Pza Cristino Martos 5, Plaza de España B,Calle Princesa nº 5
Antonio Paso Cano,Monumento de la ciudad de Madrid,C Apodaca 9, Barceló,Calle Barceló nº 7
Antonio Paso Cano,Monumento de la ciudad de Madrid,C Apodaca 9, Fuencarral,Calle Fuencarral nº 108
Antonio Paso Cano,Monumento de la ciudad de Madrid,C Apodaca 9, Malasaña,Calle Manuela Malasaña nº 5
Antonio Zozaya,Monumento de la ciudad de Madrid,Pza General Vara del Rey 14, Plaza de la Cebada,Plaza de la Cebada nº 16 
Antonio Zozaya,Monumento de la ciudad de Madrid,Pza General Vara del Rey 14, Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
Antonio Zozaya,Monumento de la ciudad de Madrid,Pza General Vara del Rey 14, Plaza de los Carros,Carrera de San Francisco nº 1
Antonio de Andrés Martínez,Monumento de la ciudad de Madrid,PLAZA DON ANTONIO DE ANDRES 1, Pavones,Calle Hacienda de Pavones nº 342
Antonio de Andrés Martínez,Monumento de la ciudad de Madrid,PLAZA DON ANTONIO DE ANDRES 1, Marroquina,Calle Camino de los Vinateros nº 108
Antonio de Andrés Martínez,Monumento de la ciudad de Madrid,PLAZA DON ANTONIO DE ANDRES 1, Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Antorcha,Monumento de la ciudad de Madrid,BARRIO CIUDAD UNIVERSITARIA , Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Antorcha,Monumento de la ciudad de Madrid,BARRIO CIUDAD UNIVERSITARIA , Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria)
Antorcha,Monumento de la ciudad de Madrid,BARRIO CIUDAD UNIVERSITARIA , Facultad Biología,Calle José Antonio Novais frente al nº 12
Apeadero de Pavones,Monumento de la ciudad de Madrid, , Pavones,Calle Hacienda de Pavones nº 342
Apeadero de Pavones,Monumento de la ciudad de Madrid, , Marroquina,Calle Camino de los Vinateros nº 108
Apeadero de Pavones,Monumento de la ciudad de Madrid, , Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Arco de Moncloa,Monumento de la ciudad de Madrid, , Moncloa,Paseo de Moret nº 2
